,Table 44:,Student Enrolment at various levels through Regular mode during last 5 years,,,,,,,,,Student Enrolment at various levels through Regular mode during last 5 years,,,,,,,,,Student Enrolment at various levels through Regular mode during last 5 years,,,,,,,,
"Sl. 
No.",State/UTs,Ph.D.,,,M.Phil.,,,Post Graduate,,,Under Graduate,,,PG Diploma,,,Diploma,,,Certificate,,,Integrated,,,Grand Total,,
,,Male,Female,Both,Male,Female,Both,Male,Female,Both,Male,Female,Both,Male,Female,Both,Male,Female,Both,Male,Female,Both,Male,Female,Both,Male,Female,Both
,2017-18,472,415,887,168,67,235,4854,8340,13194,26276,29050,55325,243,350,593,1438,1201,2639,456,244,700,1058,1133,2191,34965,40800,75764
,2016-17,629,625,1254,56,87,143,4532,8091,12623,25672,27863,53535,182,359,541,1447,1230,2677,363,195,558,1100,1264,2364,33981,39714,73695
7,Chhattisgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-21,910,744,1654,36,22,58,25566,39663,65229,203718,251446,455164,4450,4591,9041,21367,15337,36704,269,424,693,1542,1540,3082,257858,313767,571625
,2019-20,824,691,1515,109,89,198,23040,34523,57563,173403,219635,393038,4672,5099,9771,22197,15478,37675,210,335,545,1882,1848,3730,226337,277698,504035
,2018-19,965,509,1474,193,151,344,22060,30531,52591,171481,204922,376403,4491,4916,9407,23015,15902,38917,190,365,555,1357,1444,2801,223752,258740,482492
,2017-18,740,425,1165,149,150,299,19804,27619,47423,166217,188330,354547,4163,4377,8540,23120,16310,39430,211,313,524,1014,1005,2019,215418,238529,453947
,2016-17,778,488,1266,141,136,277,19086,25009,44095,163885,172395,336280,3391,3575,6966,22196,15176,37372,220,384,604,938,921,1859,210635,218084,428719
8,Delhi,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-21,8112,7332,15444,772,764,1536,20904,21417,42321,167197,185508,352705,4076,2979,7055,15220,12709,27929,1415,1143,2558,3735,2228,5963,221431,234080,455511
,2019-20,8812,7458,16270,650,672,1322,24635,24080,48715,162498,178598,341096,2692,2215,4907,17816,12949,30765,2340,1627,3967,2999,1497,4496,222442,229096,451538
,2018-19,4918,4493,9411,2402,2684,5086,25115,24578,49693,159224,169739,328963,1933,1797,3730,16697,12316,29013,2348,1656,4004,3189,1882,5071,215826,219145,434971
,2017-18,7580,7132,14712,1243,1380,2623,24109,24492,48602,157782,164764,322546,2468,1714,4182,17060,11596,28656,2257,1471,3728,2126,1019,3145,214626,213568,428194
,2016-17,5319,4604,9923,3028,3380,6408,22423,20826,43249,149412,151142,300554,2776,1705,4481,16604,11471,28075,1895,1283,3178,2020,754,2774,203477,195165,398642
9,Goa,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-21,276,340,616,6,2,8,2169,3376,5545,17717,21797,39514,24,71,95,4656,1534,6190,17,14,31,422,923,1345,25287,28057,53344
,2019-20,217,216,433,1,4,5,1799,3139,4938,15641,20727,36368,39,52,91,4412,872,5284,20,4,24,196,528,724,22325,25542,47867
,2018-19,167,129,296,,,,1615,2846,4461,16567,21225,37792,37,29,66,5566,751,6317,11,,11,213,479,692,24176,25459,49635
,2017-18,71,41,112,,,,1436,2563,3998,13379,19031,32410,43,37,80,5924,782,6706,12,,12,198,376,574,21062,22830,43892
,2016-17,194,294,488,2,1,3,1596,2672,4268,12906,17831,30737,64,52,116,5844,800,6644,13,,13,131,169,300,20750,21819,42569
10,Gujarat,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-21,4819,3202,8021,135,177,312,79326,91062,170388,675468,523944,1199412,2645,2541,5186,100057,49305,149362,13273,2943,16216,9405,7575,16980,885128,680749,1565877
,2019-20,4380,3050,7430,468,469,937,62682,81184,143866,652694,509260,1161954,3055,3009,6064,94354,44466,138820,3719,4424,8143,7635,6880,14515,828987,652742,1481729
,2018-19,3589,2328,5917,470,414,884,57767,76620,134387,619723,479352,1099075,2891,2993,5884,97310,40022,137332,3217,4378,7595,7727,7389,15116,792694,613496,1406190
,2017-18,3256,1995,5251,306,291,597,55820,71116,126936,615711,471275,1086986,2859,3007,5866,102583,37803,140386,3288,4239,7527,7115,7290,14405,790938,597016,1387954
,2016-17,3035,1953,4988,352,406,758,65749,79069,144818,607268,455387,1062655,3045,3089,6134,105649,34552,140201,2712,3481,6193,5886,6383,12269,793696,584320,1378016
11,Haryana,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-21,2046,2502,4548,104,142,246,31622,57938,89560,305577,349690,655267,1089,1109,2198,59805,26628,86433,659,984,1643,9775,7662,17437,410677,446655,857332
,2019-20,1810,2356,4166,80,230,310,28328,52669,80997,282926,333714,616640,1372,1360,2732,49268,21295,70563,1621,1778,3399,8715,4334,13049,374120,417736,791856
