,Table 50: ,Enrolment by University Type at various levels during last 5 years,,,,,,,,,Enrolment by University Type at various levels during last 5 years,,,,,,,,,Enrolment by University Type at various levels during last 5 years,,,,,,,,
"Sl. 
No.",State/UTs,Ph.D.,,,M.Phil.,,,Post Graduate,,,Under Graduate,,,PG Diploma,,,Diploma,,,Certificate,,,Integrated,,,Grand Total,,
,,Male,Female,Both,Male,Female,Both,Male,Female,Both,Male,Female,Both,Male,Female,Both,Male,Female,Both,Male,Female,Both,Male,Female,Both,Male,Female,Both
,2019-20,112,71,183,14,11,25,97882,97968,195850,584872,338072,922944,8266,7616,15882,28729,22808,51537,12800,8839,21639,,,,732675,475385,1208060
,2018-19,124,74,198,,,,89507,88333,177840,584970,324191,909161,13861,13120,26981,26192,17391,43583,8656,8328,16984,,,,723310,451437,1174747
,2017-18,95,55,150,,,,98422,86079,184501,558849,296255,855104,5863,3819,9682,13351,8532,21883,9168,9595,18763,,,,685748,404335,1090083
,2016-17,82,35,117,,,,109541,80947,190488,531799,283596,815395,4767,2622,7389,27472,11206,38678,24153,4592,28745,,,,697814,382998,1080812
7,Institute under State Legislature Act,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-21,117,66,183,,,,574,789,1363,1035,4283,5318,5,54,59,61,237,298,43,43,86,,,,1835,5472,7307
,2019-20,223,58,281,,,,628,595,1223,1389,2755,4144,26,56,82,46,193,239,38,45,83,,,,2350,3702,6052
,2018-19,59,14,73,,,,556,479,1035,1283,2597,3880,48,31,79,29,14,43,4,1,5,,,,1979,3136,5115
,2017-18,177,23,200,,,,432,245,677,823,1727,2550,26,16,42,40,162,202,25,13,38,,,,1523,2186,3709
,2016-17,220,36,256,,,,343,333,676,784,1861,2645,20,12,32,13,9,22,25,13,38,,,,1405,2264,3669
8,State Private University,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-21,15153,13366,28519,123,267,390,137724,107377,245101,658725,334585,993310,12092,11166,23258,85036,28264,113300,11254,421,11675,34237,25879,60116,954344,521325,1475669
,2019-20,12063,11343,23406,644,549,1193,129672,93921,223593,568894,278146,847040,10593,10023,20616,79832,24946,104778,3164,1197,4361,28845,22369,51214,833707,442494,1276201
,2018-19,10426,9160,19586,412,442,854,120127,84335,204462,520804,249851,770655,13958,11021,24979,70940,25827,96767,358,272,630,22477,16683,39160,759502,397591,1157093
,2017-18,7083,6284,13367,333,442,775,117798,78796,196594,459409,210774,670183,17331,14746,32077,66921,24850,91771,712,285,997,16837,13128,29965,686424,349305,1035729
,2016-17,5565,4590,10155,373,478,851,81204,60270,141474,355481,147775,503256,9067,8070,17137,55293,15598,70891,418,84,502,13664,10459,24123,521065,247324,768389
9,Deemed University-Government Aided,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-21,1148,1671,2819,34,152,186,5885,7993,13878,15514,17241,32755,391,413,804,2080,1044,3124,213,121,334,703,729,1432,25968,29364,55332
,2019-20,997,1654,2651,145,290,435,5542,6900,12442,16704,17252,33956,317,276,593,2756,917,3673,803,702,1505,384,530,914,27648,28521,56169
,2018-19,1705,1889,3594,197,392,589,6334,7555,13889,16337,17902,34239,230,214,444,2345,1157,3502,1565,1260,2825,250,388,638,28963,30757,59720
,2017-18,1683,1366,3049,255,431,686,8379,7188,15567,14924,14832,29756,294,247,541,2181,1061,3242,1723,1298,3021,29,103,132,29468,26526,55994
,2016-17,1155,1269,2424,248,385,633,14982,14991,29973,15185,14551,29736,675,452,1127,2135,1083,3218,1485,1242,2727,9,54,63,35874,34027,69901
10,Deemed University-Private,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-21,14374,15377,29751,177,399,576,67998,66886,134884,418217,260587,678804,4408,4040,8448,2816,1757,4573,603,811,1414,17239,14105,31344,525832,363962,889794
,2019-20,12538,12196,24734,303,697,1000,58752,59178,117930,371741,234714,606455,3546,3237,6783,3687,2039,5726,146,192,338,14519,11277,25796,465232,323530,788762
,2018-19,9075,8657,17732,270,747,1017,52327,50420,102747,340002,201593,541595,2916,2424,5340,3827,1911,5738,159,233,392,12508,9857,22365,421084,275842,696926
,2017-18,9718,8474,18192,262,703,965,51892,48220,100112,317717,183493,501210,2842,2295,5137,5712,1528,7240,125,163,288,10757,8250,19007,399025,253126,652151
,2016-17,8826,7769,16595,621,918,1539,50003,45810,95813,298341,168013,466354,4351,3272,7623,5857,1611,7468,286,290,576,9062,6935,15997,377347,234618,611965
11,State Private Open University,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-21,32,16,48,,,,1064,910,1974,1422,1352,2774,,,,,,,,,,,,,2518,2278,4796
,2019-20,32,48,80,20,25,45,487,916,1403,1138,1443,2581,51,67,118,,,,,,,,,,1728,2499,4227
,2018-19,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017-18,,,,,,,10,1,11,9,6,15,,,,,,,,,,,,,19,7,26
,2016-17,,,,,,,10,1,11,9,6,15,,,,,,,,,,,,,19,7,26
