State_UT_Code,education_index,employment_rate,unemployment_rate,skill_rate,informal_rate,count,State
1,6.593308497926478,0.35031981443733745,0.03219231039572643,0.6909397624235608,0.09538202010262177,14227,Jammu and Kashmir
2,7.289366647298083,0.5204822777454968,0.03399186519465427,0.675624636839047,0.12884950610110402,6884,Himachal Pradesh
3,6.943017281644091,0.3980227308111474,0.02086252529970419,0.6988167522964347,0.20247547874824848,12846,Punjab
4,9.115156017830609,0.4294205052005943,0.04309063893016345,0.7652303120356612,0.19539375928677563,1346,Chandigarh
5,7.019126085037517,0.3836986905987936,0.017949095189053993,0.7011917022215683,0.12255406797116375,6797,Uttarakhand
6,7.07337584326772,0.3660475002310323,0.0156177802421218,0.7003973754736161,0.15146474447832917,10821,Haryana
7,8.522580645161291,0.3410557184750733,0.007331378299120235,0.758357771260997,0.1624633431085044,3410,Delhi
8,6.299554051976011,0.4042749500230663,0.02337382746424727,0.6987031626428828,0.11543390230150187,19509,Rajasthan
9,6.179438194297036,0.31944149626170426,0.011391778107974244,0.6965022759970754,0.098775914526286,42399,Uttar Pradesh
10,5.721201555585356,0.2777703276563408,0.015153547002816146,0.6809708998256672,0.09016136963032498,22371,Bihar
11,7.883457176378569,0.5694172858818929,0.021900664841611264,0.7876417676965194,0.08760265936644505,2557,Sikkim
12,6.823243598161524,0.46447800393959293,0.045173998686802365,0.7587655942219304,0.04478003939592909,7615,Arunachal Pradesh
13,7.124414715719063,0.42229654403567446,0.05016722408026756,0.6976588628762542,0.0548494983277592,4485,Nagaland
14,7.47656403216317,0.42763286919003723,0.033143753677191606,0.6872916258089822,0.07050402039615611,10198,Manipur
15,7.744760803584333,0.3782338488220841,0.010550657609481139,0.7018355253649371,0.03121838415956063,6919,Mizoram
16,7.6075046368954204,0.4527036667142246,0.013696675702667999,0.7369096875445855,0.13397060921672135,7009,Tripura
17,6.61470175985049,0.41052795514717333,0.04843482323625604,0.7126615791932721,0.14919794424544464,6421,Meghalaya
18,6.825175287736473,0.3997883317899193,0.03128720730255325,0.7203995237465273,0.11820346606694007,15118,Assam
19,7.071362372567192,0.38779868638433335,0.020510134182213806,0.7290566950074545,0.15066285207720514,24817,West Bengal
20,6.187746876259573,0.3289802498992342,0.012172511084240226,0.6970576380491738,0.09802498992341797,12405,Jharkhand
21,6.745831195484864,0.3939199589533094,0.025525910723447922,0.7144048229861467,0.12493586454592098,15592,Odisha
22,6.891785903550609,0.5138314785373609,0.015580286168521463,0.7447800741918389,0.16661367249602543,9435,Chhattisgarh
23,6.605617237485887,0.3709070380127964,0.01279638690252164,0.7277474595408355,0.11003951825366955,21256,Madhya Pradesh
24,7.159065701050434,0.4458798199256215,0.00900371892738305,0.719775559470216,0.1674169765772819,15327,Gujarat
25,7.696867061812024,0.5207451312447079,0.01100762066045724,0.77307366638442,0.18797629127857748,1181,Dadra and Nagar Haveli and Daman and Diu
27,7.5852302289282,0.4489464099895942,0.014828303850156087,0.7166688345473465,0.18561394380853277,30752,Maharashtra
28,6.852524229712136,0.4323737885143932,0.02531462462028063,0.7352090264718646,0.1847244322291335,13826,Andhra Pradesh
29,7.288900761319621,0.4330840122879658,0.01515960999065046,0.7185788700414051,0.1720315213035929,14974,Karnataka
30,8.136868064118373,0.38594327990135635,0.035758323057953144,0.6954377311960542,0.14241676942046855,1622,Goa
31,8.012129380053908,0.33557951482479786,0.03504043126684636,0.6846361185983828,0.1495956873315364,742,Lakshadweep
32,8.726671850699844,0.35413426645930535,0.032400207361327114,0.6368584758942457,0.17703473302229134,15432,Kerala
33,7.889700673042862,0.44137442437123625,0.021608218207580587,0.709573149132129,0.21940311725115125,22584,Tamil Nadu
34,8.745445080687142,0.36283185840707965,0.027589796980739198,0.7126496616345653,0.17230609057782406,1921,Puducherry
35,8.022023809523809,0.43214285714285716,0.06785714285714285,0.7595238095238095,0.17261904761904762,1680,Andaman and Nicobar Islands
36,6.970117929242455,0.42874275434739156,0.026683989606236257,0.7290625624625224,0.14411353188087148,10006,Telangana
37,6.771830985915493,0.352112676056338,0.030985915492957747,0.6788732394366197,0.08075117370892018,1065,Ladakh
