UniversityType,Year,Metric,Value
Central Open University,2017,Ph.D. Both,365
Central Open University,2016,Ph.D. Both,746
Institute of National Importance,2020,Ph.D. Both,42207
Institute of National Importance,2019,Ph.D. Both,41298
Institute of National Importance,2018,Ph.D. Both,31706
Institute of National Importance,2017,Ph.D. Both,28383
Institute of National Importance,2016,Ph.D. Both,26012
Deemed University-Government,2020,Ph.D. Both,5829
Deemed University-Government,2019,Ph.D. Both,7968
Deemed University-Government,2018,Ph.D. Both,7672
Deemed University-Government,2017,Ph.D. Both,9501
Deemed University-Government,2016,Ph.D. Both,8127
State Public University,2020,Ph.D. Both,47407
State Public University,2019,Ph.D. Both,53008
State Public University,2018,Ph.D. Both,50310
State Public University,2017,Ph.D. Both,43959
State Public University,2016,Ph.D. Both,41565
State Open University,2020,Ph.D. Both,280
State Open University,2019,Ph.D. Both,183
State Open University,2018,Ph.D. Both,198
State Open University,2017,Ph.D. Both,150
State Open University,2016,Ph.D. Both,117
Institute under State Legislature Act,2020,Ph.D. Both,183
Institute under State Legislature Act,2019,Ph.D. Both,281
Institute under State Legislature Act,2018,Ph.D. Both,73
Institute under State Legislature Act,2017,Ph.D. Both,200
Institute under State Legislature Act,2016,Ph.D. Both,256
State Private University,2020,Ph.D. Both,28519
State Private University,2019,Ph.D. Both,23406
State Private University,2018,Ph.D. Both,19586
State Private University,2017,Ph.D. Both,13367
State Private University,2016,Ph.D. Both,10155
Deemed University-Government Aided,2020,Ph.D. Both,2819
Deemed University-Government Aided,2019,Ph.D. Both,2651
Deemed University-Government Aided,2018,Ph.D. Both,3594
Deemed University-Government Aided,2017,Ph.D. Both,3049
Deemed University-Government Aided,2016,Ph.D. Both,2424
Deemed University-Private,2020,Ph.D. Both,29751
Deemed University-Private,2019,Ph.D. Both,24734
Deemed University-Private,2018,Ph.D. Both,17732
Deemed University-Private,2017,Ph.D. Both,18192
Deemed University-Private,2016,Ph.D. Both,16595
State Private Open University,2020,Ph.D. Both,48
State Private Open University,2019,Ph.D. Both,80
All University Types,2020,M.Phil. Male,4654
All University Types,2019,M.Phil. Male,6461
All University Types,2018,M.Phil. Male,7850
All University Types,2017,M.Phil. Male,7424
All University Types,2016,M.Phil. Male,10661
Central University,2020,M.Phil. Male,1294
