UniversityType,Year,Metric,Value
Central Open University,2016,Under Graduate Both,456113
Institute of National Importance,2020,Under Graduate Both,166998
Institute of National Importance,2019,Under Graduate Both,144868
Institute of National Importance,2018,Under Graduate Both,123460
Institute of National Importance,2017,Under Graduate Both,117322
Institute of National Importance,2016,Under Graduate Both,113685
Deemed University-Government,2020,Under Graduate Both,16266
Deemed University-Government,2019,Under Graduate Both,14539
Deemed University-Government,2018,Under Graduate Both,14488
Deemed University-Government,2017,Under Graduate Both,16026
Deemed University-Government,2016,Under Graduate Both,17040
State Public University,2020,Under Graduate Both,1548407
State Public University,2019,Under Graduate Both,1397527
State Public University,2018,Under Graduate Both,1258937
State Public University,2017,Under Graduate Both,1300522
State Public University,2016,Under Graduate Both,1451242
State Open University,2020,Under Graduate Both,1066081
State Open University,2019,Under Graduate Both,922944
State Open University,2018,Under Graduate Both,909161
State Open University,2017,Under Graduate Both,855104
State Open University,2016,Under Graduate Both,815395
Institute under State Legislature Act,2020,Under Graduate Both,5318
Institute under State Legislature Act,2019,Under Graduate Both,4144
Institute under State Legislature Act,2018,Under Graduate Both,3880
Institute under State Legislature Act,2017,Under Graduate Both,2550
Institute under State Legislature Act,2016,Under Graduate Both,2645
State Private University,2020,Under Graduate Both,993310
State Private University,2019,Under Graduate Both,847040
State Private University,2018,Under Graduate Both,770655
State Private University,2017,Under Graduate Both,670183
State Private University,2016,Under Graduate Both,503256
Deemed University-Government Aided,2020,Under Graduate Both,32755
Deemed University-Government Aided,2019,Under Graduate Both,33956
Deemed University-Government Aided,2018,Under Graduate Both,34239
Deemed University-Government Aided,2017,Under Graduate Both,29756
Deemed University-Government Aided,2016,Under Graduate Both,29736
Deemed University-Private,2020,Under Graduate Both,678804
Deemed University-Private,2019,Under Graduate Both,606455
Deemed University-Private,2018,Under Graduate Both,541595
Deemed University-Private,2017,Under Graduate Both,501210
Deemed University-Private,2016,Under Graduate Both,466354
State Private Open University,2020,Under Graduate Both,2774
State Private Open University,2019,Under Graduate Both,2581
State Private Open University,2017,Under Graduate Both,15
State Private Open University,2016,Under Graduate Both,15
All University Types,2020,PG Diploma Male,95077
All University Types,2019,PG Diploma Male,74632
All University Types,2018,PG Diploma Male,82634
All University Types,2017,PG Diploma Male,81900
All University Types,2016,PG Diploma Male,78041
Central University,2020,PG Diploma Male,2492
Central University,2019,PG Diploma Male,2713
Central University,2018,PG Diploma Male,2675
Central University,2017,PG Diploma Male,2132
Central University,2016,PG Diploma Male,2461
Central Open University,2020,PG Diploma Male,25544
Central Open University,2019,PG Diploma Male,18123
Central Open University,2018,PG Diploma Male,17723
Central Open University,2017,PG Diploma Male,13071
Central Open University,2016,PG Diploma Male,19162
Institute of National Importance,2020,PG Diploma Male,1230
Institute of National Importance,2019,PG Diploma Male,992
Institute of National Importance,2018,PG Diploma Male,1882
Institute of National Importance,2017,PG Diploma Male,56
Institute of National Importance,2016,PG Diploma Male,134
Deemed University-Government,2020,PG Diploma Male,597
Deemed University-Government,2019,PG Diploma Male,488
Deemed University-Government,2018,PG Diploma Male,502
Deemed University-Government,2017,PG Diploma Male,906
Deemed University-Government,2016,PG Diploma Male,813
State Public University,2020,PG Diploma Male,26444
State Public University,2019,PG Diploma Male,29517
State Public University,2018,PG Diploma Male,28839
State Public University,2017,PG Diploma Male,39379
State Public University,2016,PG Diploma Male,36591
State Open University,2020,PG Diploma Male,21874
State Open University,2019,PG Diploma Male,8266
State Open University,2018,PG Diploma Male,13861
State Open University,2017,PG Diploma Male,5863
State Open University,2016,PG Diploma Male,4767
Institute under State Legislature Act,2020,PG Diploma Male,5
Institute under State Legislature Act,2019,PG Diploma Male,26
Institute under State Legislature Act,2018,PG Diploma Male,48
Institute under State Legislature Act,2017,PG Diploma Male,26
Institute under State Legislature Act,2016,PG Diploma Male,20
State Private University,2020,PG Diploma Male,12092
State Private University,2019,PG Diploma Male,10593
State Private University,2018,PG Diploma Male,13958
State Private University,2017,PG Diploma Male,17331
State Private University,2016,PG Diploma Male,9067
Deemed University-Government Aided,2020,PG Diploma Male,391
Deemed University-Government Aided,2019,PG Diploma Male,317
Deemed University-Government Aided,2018,PG Diploma Male,230
Deemed University-Government Aided,2017,PG Diploma Male,294
Deemed University-Government Aided,2016,PG Diploma Male,675
Deemed University-Private,2020,PG Diploma Male,4408
Deemed University-Private,2019,PG Diploma Male,3546
Deemed University-Private,2018,PG Diploma Male,2916
Deemed University-Private,2017,PG Diploma Male,2842
Deemed University-Private,2016,PG Diploma Male,4351
State Private Open University,2019,PG Diploma Male,51
All University Types,2020,PG Diploma Female,73561
All University Types,2019,PG Diploma Female,63053
All University Types,2018,PG Diploma Female,67497
All University Types,2017,PG Diploma Female,71557
All University Types,2016,PG Diploma Female,58972
Central University,2020,PG Diploma Female,1885
Central University,2019,PG Diploma Female,2235
Central University,2018,PG Diploma Female,1738
Central University,2017,PG Diploma Female,1678
Central University,2016,PG Diploma Female,1555
Central Open University,2020,PG Diploma Female,14798
Central Open University,2019,PG Diploma Female,10989
Central Open University,2018,PG Diploma Female,10389
Central Open University,2017,PG Diploma Female,7938
Central Open University,2016,PG Diploma Female,8768
Institute of National Importance,2020,PG Diploma Female,510
Institute of National Importance,2019,PG Diploma Female,517
Institute of National Importance,2018,PG Diploma Female,575
Institute of National Importance,2017,PG Diploma Female,47
Institute of National Importance,2016,PG Diploma Female,81
Deemed University-Government,2020,PG Diploma Female,218
Deemed University-Government,2019,PG Diploma Female,239
Deemed University-Government,2018,PG Diploma Female,261
Deemed University-Government,2017,PG Diploma Female,394
Deemed University-Government,2016,PG Diploma Female,352
State Public University,2020,PG Diploma Female,23192
State Public University,2019,PG Diploma Female,27798
State Public University,2018,PG Diploma Female,27724
State Public University,2017,PG Diploma Female,40377
State Public University,2016,PG Diploma Female,33788
State Open University,2020,PG Diploma Female,17285
State Open University,2019,PG Diploma Female,7616
State Open University,2018,PG Diploma Female,13120
State Open University,2017,PG Diploma Female,3819
State Open University,2016,PG Diploma Female,2622
Institute under State Legislature Act,2020,PG Diploma Female,54
Institute under State Legislature Act,2019,PG Diploma Female,56
Institute under State Legislature Act,2018,PG Diploma Female,31
Institute under State Legislature Act,2017,PG Diploma Female,16
Institute under State Legislature Act,2016,PG Diploma Female,12
State Private University,2020,PG Diploma Female,11166
State Private University,2019,PG Diploma Female,10023
State Private University,2018,PG Diploma Female,11021
State Private University,2017,PG Diploma Female,14746
State Private University,2016,PG Diploma Female,8070
Deemed University-Government Aided,2020,PG Diploma Female,413
Deemed University-Government Aided,2019,PG Diploma Female,276
Deemed University-Government Aided,2018,PG Diploma Female,214
Deemed University-Government Aided,2017,PG Diploma Female,247
Deemed University-Government Aided,2016,PG Diploma Female,452
Deemed University-Private,2020,PG Diploma Female,4040
Deemed University-Private,2019,PG Diploma Female,3237
Deemed University-Private,2018,PG Diploma Female,2424
Deemed University-Private,2017,PG Diploma Female,2295
Deemed University-Private,2016,PG Diploma Female,3272
State Private Open University,2019,PG Diploma Female,67
All University Types,2020,PG Diploma Both,168638
All University Types,2019,PG Diploma Both,137685
All University Types,2018,PG Diploma Both,150131
All University Types,2017,PG Diploma Both,153457
All University Types,2016,PG Diploma Both,137013
Central University,2020,PG Diploma Both,4377
Central University,2019,PG Diploma Both,4948
Central University,2018,PG Diploma Both,4413
Central University,2017,PG Diploma Both,3810
Central University,2016,PG Diploma Both,4016
Central Open University,2020,PG Diploma Both,40342
Central Open University,2019,PG Diploma Both,29112
Central Open University,2018,PG Diploma Both,28112
Central Open University,2017,PG Diploma Both,21009
Central Open University,2016,PG Diploma Both,27930
Institute of National Importance,2020,PG Diploma Both,1740
Institute of National Importance,2019,PG Diploma Both,1509
Institute of National Importance,2018,PG Diploma Both,2457
Institute of National Importance,2017,PG Diploma Both,103
Institute of National Importance,2016,PG Diploma Both,215
Deemed University-Government,2020,PG Diploma Both,815
Deemed University-Government,2019,PG Diploma Both,727
Deemed University-Government,2018,PG Diploma Both,763
Deemed University-Government,2017,PG Diploma Both,1300
Deemed University-Government,2016,PG Diploma Both,1165
State Public University,2020,PG Diploma Both,49636
State Public University,2019,PG Diploma Both,57315
State Public University,2018,PG Diploma Both,56563
State Public University,2017,PG Diploma Both,79756
State Public University,2016,PG Diploma Both,70379
State Open University,2020,PG Diploma Both,39159
State Open University,2019,PG Diploma Both,15882
State Open University,2018,PG Diploma Both,26981
State Open University,2017,PG Diploma Both,9682
State Open University,2016,PG Diploma Both,7389
Institute under State Legislature Act,2020,PG Diploma Both,59
Institute under State Legislature Act,2019,PG Diploma Both,82
Institute under State Legislature Act,2018,PG Diploma Both,79
Institute under State Legislature Act,2017,PG Diploma Both,42
Institute under State Legislature Act,2016,PG Diploma Both,32
State Private University,2020,PG Diploma Both,23258
State Private University,2019,PG Diploma Both,20616
State Private University,2018,PG Diploma Both,24979
State Private University,2017,PG Diploma Both,32077
State Private University,2016,PG Diploma Both,17137
Deemed University-Government Aided,2020,PG Diploma Both,804
Deemed University-Government Aided,2019,PG Diploma Both,593
Deemed University-Government Aided,2018,PG Diploma Both,444
Deemed University-Government Aided,2017,PG Diploma Both,541
Deemed University-Government Aided,2016,PG Diploma Both,1127
Deemed University-Private,2020,PG Diploma Both,8448
Deemed University-Private,2019,PG Diploma Both,6783
Deemed University-Private,2018,PG Diploma Both,5340
Deemed University-Private,2017,PG Diploma Both,5137
Deemed University-Private,2016,PG Diploma Both,7623
State Private Open University,2019,PG Diploma Both,118
All University Types,2020,Diploma Male,188412
All University Types,2019,Diploma Male,171993
All University Types,2018,Diploma Male,169584
All University Types,2017,Diploma Male,175091
All University Types,2016,Diploma Male,170392
Central University,2020,Diploma Male,6165
Central University,2019,Diploma Male,6127
Central University,2018,Diploma Male,6708
Central University,2017,Diploma Male,6276
Central University,2016,Diploma Male,6710
Central Open University,2020,Diploma Male,19080
Central Open University,2019,Diploma Male,9732
Central Open University,2018,Diploma Male,9074
Central Open University,2017,Diploma Male,8143
Central Open University,2016,Diploma Male,4236
Institute of National Importance,2020,Diploma Male,355
Institute of National Importance,2019,Diploma Male,242
Institute of National Importance,2018,Diploma Male,14
Institute of National Importance,2017,Diploma Male,16
Institute of National Importance,2016,Diploma Male,14
Deemed University-Government,2020,Diploma Male,1576
Deemed University-Government,2019,Diploma Male,1609
Deemed University-Government,2018,Diploma Male,1828
Deemed University-Government,2017,Diploma Male,1818
Deemed University-Government,2016,Diploma Male,1832
State Public University,2020,Diploma Male,39121
State Public University,2019,Diploma Male,39233
State Public University,2018,Diploma Male,48627
State Public University,2017,Diploma Male,70633
State Public University,2016,Diploma Male,66830
State Open University,2020,Diploma Male,32122
State Open University,2019,Diploma Male,28729
State Open University,2018,Diploma Male,26192
State Open University,2017,Diploma Male,13351
State Open University,2016,Diploma Male,27472
Institute under State Legislature Act,2020,Diploma Male,61
Institute under State Legislature Act,2019,Diploma Male,46
Institute under State Legislature Act,2018,Diploma Male,29
Institute under State Legislature Act,2017,Diploma Male,40
Institute under State Legislature Act,2016,Diploma Male,13
State Private University,2020,Diploma Male,85036
State Private University,2019,Diploma Male,79832
State Private University,2018,Diploma Male,70940
State Private University,2017,Diploma Male,66921
State Private University,2016,Diploma Male,55293
Deemed University-Government Aided,2020,Diploma Male,2080
Deemed University-Government Aided,2019,Diploma Male,2756
Deemed University-Government Aided,2018,Diploma Male,2345
Deemed University-Government Aided,2017,Diploma Male,2181
Deemed University-Government Aided,2016,Diploma Male,2135
Deemed University-Private,2020,Diploma Male,2816
Deemed University-Private,2019,Diploma Male,3687
Deemed University-Private,2018,Diploma Male,3827
Deemed University-Private,2017,Diploma Male,5712
Deemed University-Private,2016,Diploma Male,5857
All University Types,2020,Diploma Female,124219
All University Types,2019,Diploma Female,104165
All University Types,2018,Diploma Female,93413
All University Types,2017,Diploma Female,88806
All University Types,2016,Diploma Female,76837
Central University,2020,Diploma Female,2597
Central University,2019,Diploma Female,2266
Central University,2018,Diploma Female,2004
Central University,2017,Diploma Female,2089
Central University,2016,Diploma Female,1837
Central Open University,2020,Diploma Female,42707
Central Open University,2019,Diploma Female,23299
Central Open University,2018,Diploma Female,13581
Central Open University,2017,Diploma Female,10078
Central Open University,2016,Diploma Female,8292
Institute of National Importance,2020,Diploma Female,153
Institute of National Importance,2019,Diploma Female,90
Institute of National Importance,2018,Diploma Female,58
Institute of National Importance,2017,Diploma Female,55
Institute of National Importance,2016,Diploma Female,79
Deemed University-Government,2020,Diploma Female,460
Deemed University-Government,2019,Diploma Female,515
Deemed University-Government,2018,Diploma Female,576
Deemed University-Government,2017,Diploma Female,554
Deemed University-Government,2016,Diploma Female,486
State Public University,2020,Diploma Female,23816
State Public University,2019,Diploma Female,27092
State Public University,2018,Diploma Female,30894
State Public University,2017,Diploma Female,39897
State Public University,2016,Diploma Female,36636
State Open University,2020,Diploma Female,23184
State Open University,2019,Diploma Female,22808
State Open University,2018,Diploma Female,17391
State Open University,2017,Diploma Female,8532
State Open University,2016,Diploma Female,11206
Institute under State Legislature Act,2020,Diploma Female,237
Institute under State Legislature Act,2019,Diploma Female,193
Institute under State Legislature Act,2018,Diploma Female,14
Institute under State Legislature Act,2017,Diploma Female,162
Institute under State Legislature Act,2016,Diploma Female,9
State Private University,2020,Diploma Female,28264
State Private University,2019,Diploma Female,24946
State Private University,2018,Diploma Female,25827
State Private University,2017,Diploma Female,24850
State Private University,2016,Diploma Female,15598
Deemed University-Government Aided,2020,Diploma Female,1044
Deemed University-Government Aided,2019,Diploma Female,917
Deemed University-Government Aided,2018,Diploma Female,1157
Deemed University-Government Aided,2017,Diploma Female,1061
Deemed University-Government Aided,2016,Diploma Female,1083
Deemed University-Private,2020,Diploma Female,1757
Deemed University-Private,2019,Diploma Female,2039
Deemed University-Private,2018,Diploma Female,1911
Deemed University-Private,2017,Diploma Female,1528
Deemed University-Private,2016,Diploma Female,1611
All University Types,2020,Diploma Both,312631
All University Types,2019,Diploma Both,276158
All University Types,2018,Diploma Both,262997
All University Types,2017,Diploma Both,263897
All University Types,2016,Diploma Both,247229
Central University,2020,Diploma Both,8762
Central University,2019,Diploma Both,8393
Central University,2018,Diploma Both,8712
Central University,2017,Diploma Both,8365
Central University,2016,Diploma Both,8547
Central Open University,2020,Diploma Both,61787
Central Open University,2019,Diploma Both,33031
Central Open University,2018,Diploma Both,22655
Central Open University,2017,Diploma Both,18221
Central Open University,2016,Diploma Both,12528
Institute of National Importance,2020,Diploma Both,508
Institute of National Importance,2019,Diploma Both,332
Institute of National Importance,2018,Diploma Both,72
Institute of National Importance,2017,Diploma Both,71
Institute of National Importance,2016,Diploma Both,93
Deemed University-Government,2020,Diploma Both,2036
Deemed University-Government,2019,Diploma Both,2124
Deemed University-Government,2018,Diploma Both,2404
Deemed University-Government,2017,Diploma Both,2372
Deemed University-Government,2016,Diploma Both,2318
State Public University,2020,Diploma Both,62937
State Public University,2019,Diploma Both,66325
State Public University,2018,Diploma Both,79521
State Public University,2017,Diploma Both,110530
State Public University,2016,Diploma Both,103466
State Open University,2020,Diploma Both,55306
State Open University,2019,Diploma Both,51537
State Open University,2018,Diploma Both,43583
State Open University,2017,Diploma Both,21883
State Open University,2016,Diploma Both,38678
Institute under State Legislature Act,2020,Diploma Both,298
Institute under State Legislature Act,2019,Diploma Both,239
Institute under State Legislature Act,2018,Diploma Both,43
Institute under State Legislature Act,2017,Diploma Both,202
Institute under State Legislature Act,2016,Diploma Both,22
State Private University,2020,Diploma Both,113300
State Private University,2019,Diploma Both,104778
State Private University,2018,Diploma Both,96767
State Private University,2017,Diploma Both,91771
State Private University,2016,Diploma Both,70891
Deemed University-Government Aided,2020,Diploma Both,3124
Deemed University-Government Aided,2019,Diploma Both,3673
Deemed University-Government Aided,2018,Diploma Both,3502
Deemed University-Government Aided,2017,Diploma Both,3242
Deemed University-Government Aided,2016,Diploma Both,3218
Deemed University-Private,2020,Diploma Both,4573
Deemed University-Private,2019,Diploma Both,5726
Deemed University-Private,2018,Diploma Both,5738
Deemed University-Private,2017,Diploma Both,7240
Deemed University-Private,2016,Diploma Both,7468
All University Types,2020,Certificate Male,50842
All University Types,2019,Certificate Male,32798
All University Types,2018,Certificate Male,30118
All University Types,2017,Certificate Male,29307
All University Types,2016,Certificate Male,40433
Central University,2020,Certificate Male,2529
Central University,2019,Certificate Male,3275
Central University,2018,Certificate Male,3207
Central University,2017,Certificate Male,2347
Central University,2016,Certificate Male,2641
Central Open University,2019,Certificate Male,223
Central Open University,2018,Certificate Male,383
Central Open University,2017,Certificate Male,55
Central Open University,2016,Certificate Male,159
Institute of National Importance,2020,Certificate Male,2036
Institute of National Importance,2019,Certificate Male,1775
Institute of National Importance,2018,Certificate Male,1793
Institute of National Importance,2017,Certificate Male,9
Institute of National Importance,2016,Certificate Male,11
Deemed University-Government,2020,Certificate Male,494
Deemed University-Government,2019,Certificate Male,374
Deemed University-Government,2018,Certificate Male,354
Deemed University-Government,2017,Certificate Male,353
Deemed University-Government,2016,Certificate Male,334
State Public University,2020,Certificate Male,9205
State Public University,2019,Certificate Male,10200
State Public University,2018,Certificate Male,13639
State Public University,2017,Certificate Male,14790
State Public University,2016,Certificate Male,10921
State Open University,2020,Certificate Male,24465
State Open University,2019,Certificate Male,12800
State Open University,2018,Certificate Male,8656
State Open University,2017,Certificate Male,9168
State Open University,2016,Certificate Male,24153
Institute under State Legislature Act,2020,Certificate Male,43
Institute under State Legislature Act,2019,Certificate Male,38
Institute under State Legislature Act,2018,Certificate Male,4
Institute under State Legislature Act,2017,Certificate Male,25
Institute under State Legislature Act,2016,Certificate Male,25
State Private University,2020,Certificate Male,11254
State Private University,2019,Certificate Male,3164
State Private University,2018,Certificate Male,358
State Private University,2017,Certificate Male,712
State Private University,2016,Certificate Male,418
Deemed University-Government Aided,2020,Certificate Male,213
Deemed University-Government Aided,2019,Certificate Male,803
Deemed University-Government Aided,2018,Certificate Male,1565
Deemed University-Government Aided,2017,Certificate Male,1723
Deemed University-Government Aided,2016,Certificate Male,1485
Deemed University-Private,2020,Certificate Male,603
Deemed University-Private,2019,Certificate Male,146
Deemed University-Private,2018,Certificate Male,159
Deemed University-Private,2017,Certificate Male,125
Deemed University-Private,2016,Certificate Male,286
All University Types,2020,Certificate Female,33396
All University Types,2019,Certificate Female,28051
All University Types,2018,Certificate Female,29173
All University Types,2017,Certificate Female,38717
All University Types,2016,Certificate Female,25260
Central University,2020,Certificate Female,1296
Central University,2019,Certificate Female,1497
Central University,2018,Certificate Female,1261
Central University,2017,Certificate Female,1244
Central University,2016,Certificate Female,1144
Central Open University,2019,Certificate Female,268
Central Open University,2018,Certificate Female,305
Central Open University,2017,Certificate Female,95
Central Open University,2016,Certificate Female,94
Institute of National Importance,2020,Certificate Female,740
Institute of National Importance,2019,Certificate Female,567
Institute of National Importance,2018,Certificate Female,544
Institute of National Importance,2017,Certificate Female,6
Institute of National Importance,2016,Certificate Female,6
Deemed University-Government,2020,Certificate Female,251
Deemed University-Government,2019,Certificate Female,187
Deemed University-Government,2018,Certificate Female,118
Deemed University-Government,2017,Certificate Female,101
Deemed University-Government,2016,Certificate Female,98
State Public University,2020,Certificate Female,15599
State Public University,2019,Certificate Female,14557
State Public University,2018,Certificate Female,16851
State Public University,2017,Certificate Female,25917
State Public University,2016,Certificate Female,17697
State Open University,2020,Certificate Female,14114
State Open University,2019,Certificate Female,8839
State Open University,2018,Certificate Female,8328
State Open University,2017,Certificate Female,9595
State Open University,2016,Certificate Female,4592
Institute under State Legislature Act,2020,Certificate Female,43
Institute under State Legislature Act,2019,Certificate Female,45
Institute under State Legislature Act,2018,Certificate Female,1
Institute under State Legislature Act,2017,Certificate Female,13
Institute under State Legislature Act,2016,Certificate Female,13
State Private University,2020,Certificate Female,421
State Private University,2019,Certificate Female,1197
State Private University,2018,Certificate Female,272
State Private University,2017,Certificate Female,285
State Private University,2016,Certificate Female,84
Deemed University-Government Aided,2020,Certificate Female,121
Deemed University-Government Aided,2019,Certificate Female,702
Deemed University-Government Aided,2018,Certificate Female,1260
Deemed University-Government Aided,2017,Certificate Female,1298
Deemed University-Government Aided,2016,Certificate Female,1242
Deemed University-Private,2020,Certificate Female,811
Deemed University-Private,2019,Certificate Female,192
Deemed University-Private,2018,Certificate Female,233
Deemed University-Private,2017,Certificate Female,163
Deemed University-Private,2016,Certificate Female,290
All University Types,2020,Certificate Both,84238
All University Types,2019,Certificate Both,60849
All University Types,2018,Certificate Both,59291
All University Types,2017,Certificate Both,68024
All University Types,2016,Certificate Both,65693
Central University,2020,Certificate Both,3825
Central University,2019,Certificate Both,4772
Central University,2018,Certificate Both,4468
Central University,2017,Certificate Both,3591
Central University,2016,Certificate Both,3785
Central Open University,2019,Certificate Both,491
Central Open University,2018,Certificate Both,688
Central Open University,2017,Certificate Both,150
Central Open University,2016,Certificate Both,253
Institute of National Importance,2020,Certificate Both,2776
Institute of National Importance,2019,Certificate Both,2342
Institute of National Importance,2018,Certificate Both,2337
Institute of National Importance,2017,Certificate Both,15
Institute of National Importance,2016,Certificate Both,17
Deemed University-Government,2020,Certificate Both,745
Deemed University-Government,2019,Certificate Both,561
Deemed University-Government,2018,Certificate Both,472
Deemed University-Government,2017,Certificate Both,454
Deemed University-Government,2016,Certificate Both,432
State Public University,2020,Certificate Both,24804
State Public University,2019,Certificate Both,24757
State Public University,2018,Certificate Both,30490
State Public University,2017,Certificate Both,40707
State Public University,2016,Certificate Both,28618
State Open University,2020,Certificate Both,38579
State Open University,2019,Certificate Both,21639
State Open University,2018,Certificate Both,16984
State Open University,2017,Certificate Both,18763
State Open University,2016,Certificate Both,28745
Institute under State Legislature Act,2020,Certificate Both,86
Institute under State Legislature Act,2019,Certificate Both,83
Institute under State Legislature Act,2018,Certificate Both,5
Institute under State Legislature Act,2017,Certificate Both,38
Institute under State Legislature Act,2016,Certificate Both,38
State Private University,2020,Certificate Both,11675
State Private University,2019,Certificate Both,4361
State Private University,2018,Certificate Both,630
State Private University,2017,Certificate Both,997
State Private University,2016,Certificate Both,502
Deemed University-Government Aided,2020,Certificate Both,334
Deemed University-Government Aided,2019,Certificate Both,1505
Deemed University-Government Aided,2018,Certificate Both,2825
Deemed University-Government Aided,2017,Certificate Both,3021
Deemed University-Government Aided,2016,Certificate Both,2727
Deemed University-Private,2020,Certificate Both,1414
Deemed University-Private,2019,Certificate Both,338
Deemed University-Private,2018,Certificate Both,392
Deemed University-Private,2017,Certificate Both,288
Deemed University-Private,2016,Certificate Both,576
All University Types,2020,Integrated Male,102031
All University Types,2019,Integrated Male,87722
All University Types,2018,Integrated Male,77518
All University Types,2017,Integrated Male,67630
All University Types,2016,Integrated Male,60963
Central University,2020,Integrated Male,6316
Central University,2019,Integrated Male,6295
Central University,2018,Integrated Male,6982
Central University,2017,Integrated Male,6282
Central University,2016,Integrated Male,6082
Institute of National Importance,2020,Integrated Male,17467
Institute of National Importance,2019,Integrated Male,14819
Institute of National Importance,2018,Integrated Male,14255
Institute of National Importance,2017,Integrated Male,13337
Institute of National Importance,2016,Integrated Male,12205
Deemed University-Government,2020,Integrated Male,973
Deemed University-Government,2019,Integrated Male,839
Deemed University-Government,2018,Integrated Male,625
Deemed University-Government,2017,Integrated Male,935
Deemed University-Government,2016,Integrated Male,1649
State Public University,2020,Integrated Male,25096
State Public University,2019,Integrated Male,22021
State Public University,2018,Integrated Male,20421
State Public University,2017,Integrated Male,19453
State Public University,2016,Integrated Male,18292
State Private University,2020,Integrated Male,34237
State Private University,2019,Integrated Male,28845
State Private University,2018,Integrated Male,22477
State Private University,2017,Integrated Male,16837
State Private University,2016,Integrated Male,13664
Deemed University-Government Aided,2020,Integrated Male,703
Deemed University-Government Aided,2019,Integrated Male,384
Deemed University-Government Aided,2018,Integrated Male,250
Deemed University-Government Aided,2017,Integrated Male,29
Deemed University-Government Aided,2016,Integrated Male,9
Deemed University-Private,2020,Integrated Male,17239
Deemed University-Private,2019,Integrated Male,14519
Deemed University-Private,2018,Integrated Male,12508
Deemed University-Private,2017,Integrated Male,10757
Deemed University-Private,2016,Integrated Male,9062
All University Types,2020,Integrated Female,75909
All University Types,2019,Integrated Female,63307
All University Types,2018,Integrated Female,54612
All University Types,2017,Integrated Female,45981
All University Types,2016,Integrated Female,40975
Central University,2020,Integrated Female,4933
Central University,2019,Integrated Female,5072
Central University,2018,Integrated Female,6096
Central University,2017,Integrated Female,5583
Central University,2016,Integrated Female,5214
Institute of National Importance,2020,Integrated Female,5463
Institute of National Importance,2019,Integrated Female,4095
Institute of National Importance,2018,Integrated Female,3847
Institute of National Importance,2017,Integrated Female,3361
Institute of National Importance,2016,Integrated Female,2931
Deemed University-Government,2020,Integrated Female,224
Deemed University-Government,2019,Integrated Female,231
Deemed University-Government,2018,Integrated Female,235
Deemed University-Government,2017,Integrated Female,273
Deemed University-Government,2016,Integrated Female,670
State Public University,2020,Integrated Female,24576
State Public University,2019,Integrated Female,19733
State Public University,2018,Integrated Female,17506
State Public University,2017,Integrated Female,15283
State Public University,2016,Integrated Female,14712
State Private University,2020,Integrated Female,25879
State Private University,2019,Integrated Female,22369
State Private University,2018,Integrated Female,16683
State Private University,2017,Integrated Female,13128
State Private University,2016,Integrated Female,10459
Deemed University-Government Aided,2020,Integrated Female,729
Deemed University-Government Aided,2019,Integrated Female,530
Deemed University-Government Aided,2018,Integrated Female,388
Deemed University-Government Aided,2017,Integrated Female,103
Deemed University-Government Aided,2016,Integrated Female,54
Deemed University-Private,2020,Integrated Female,14105
Deemed University-Private,2019,Integrated Female,11277
Deemed University-Private,2018,Integrated Female,9857
Deemed University-Private,2017,Integrated Female,8250
Deemed University-Private,2016,Integrated Female,6935
All University Types,2020,Integrated Both,177940
All University Types,2019,Integrated Both,151029
All University Types,2018,Integrated Both,132130
All University Types,2017,Integrated Both,113611
All University Types,2016,Integrated Both,101938
Central University,2020,Integrated Both,11249
Central University,2019,Integrated Both,11367
Central University,2018,Integrated Both,13078
Central University,2017,Integrated Both,11865
Central University,2016,Integrated Both,11296
Institute of National Importance,2020,Integrated Both,22930
Institute of National Importance,2019,Integrated Both,18914
Institute of National Importance,2018,Integrated Both,18102
Institute of National Importance,2017,Integrated Both,16698
Institute of National Importance,2016,Integrated Both,15136
Deemed University-Government,2020,Integrated Both,1197
Deemed University-Government,2019,Integrated Both,1070
Deemed University-Government,2018,Integrated Both,860
Deemed University-Government,2017,Integrated Both,1208
Deemed University-Government,2016,Integrated Both,2319
State Public University,2020,Integrated Both,49672
State Public University,2019,Integrated Both,41754
State Public University,2018,Integrated Both,37927
State Public University,2017,Integrated Both,34736
State Public University,2016,Integrated Both,33004
State Private University,2020,Integrated Both,60116
State Private University,2019,Integrated Both,51214
State Private University,2018,Integrated Both,39160
State Private University,2017,Integrated Both,29965
State Private University,2016,Integrated Both,24123
Deemed University-Government Aided,2020,Integrated Both,1432
Deemed University-Government Aided,2019,Integrated Both,914
Deemed University-Government Aided,2018,Integrated Both,638
Deemed University-Government Aided,2017,Integrated Both,132
Deemed University-Government Aided,2016,Integrated Both,63
Deemed University-Private,2020,Integrated Both,31344
Deemed University-Private,2019,Integrated Both,25796
Deemed University-Private,2018,Integrated Both,22365
Deemed University-Private,2017,Integrated Both,19007
Deemed University-Private,2016,Integrated Both,15997
All University Types,2020,Grand Total Male,5078484
All University Types,2019,Grand Total Male,4617270
All University Types,2018,Grand Total Male,4272018
All University Types,2017,Grand Total Male,4246430
All University Types,2016,Grand Total Male,4038296
Central University,2020,Grand Total Male,366090
Central University,2019,Grand Total Male,373366
Central University,2018,Grand Total Male,370787
Central University,2017,Grand Total Male,375928
Central University,2016,Grand Total Male,383951
Central Open University,2020,Grand Total Male,698009
Central Open University,2019,Grand Total Male,645668
Central Open University,2018,Grand Total Male,576161
Central Open University,2017,Grand Total Male,554164
