State,Area,Year,unemployment_rate,estimated_employed,labour_participation_rate
Telangana,Urban,2019.0,4.15625,5483027.625,44.82
Telangana,Urban,2020.0,12.219999999999999,4573894.666666667,39.95666666666667
Tripura,Rural,2019.0,26.675,1054292.875,64.015
Tripura,Rural,2020.0,27.82166666666667,997019.6666666666,61.00666666666667
Tripura,Urban,2019.0,30.05125,408925.375,62.365
Tripura,Urban,2020.0,28.845,398035.0,58.998333333333335
Uttar Pradesh,Rural,2019.0,9.25625,43311721.25,39.2425
Uttar Pradesh,Rural,2020.0,11.478333333333333,42273705.333333336,38.685
Uttar Pradesh,Urban,2019.0,12.52,13738216.125,40.25875
Uttar Pradesh,Urban,2020.0,18.06,12768928.333333334,39.33166666666667
Uttarakhand,Rural,2019.0,4.56375,2022710.875,36.80625
Uttarakhand,Rural,2020.0,5.392,1921381.2,34.766
Uttarakhand,Urban,2019.0,7.0375,831694.875,31.275
Uttarakhand,Urban,2020.0,9.661666666666667,849001.1666666666,32.24333333333333
West Bengal,Rural,2019.0,5.84125,24909920.375,48.84625
West Bengal,Rural,2020.0,9.88,22297336.833333332,44.87166666666667
West Bengal,Urban,2019.0,7.41,10997561.25,44.92875
West Bengal,Urban,2020.0,10.366666666666667,10085865.0,42.04333333333334
